"ID","NOMBRE","URL","TIPO","CATEGORIA","VENTA","ALQUILER","VACACIONAL","PAIS","IDIOMA","MUNICIPIO","ZONA","DESCRIPCION","OBSERVACIONES"
"20","Inmobiliaria 7 Llaves","https://www.inmobiliaria7llaves.com/","Inmobiliaria","Venta","si","no","no","España","español","Toda la isla","Toda la isla","Inmobiliaria con propiedades en venta en La Palma",""
"21","Wellmann Immobilien La Palma","https://wellmannimmobilien.com/","Inmobiliaria","Venta","si","si","si","Alemania","alemán/español/inglés/neerlandés","Toda la isla","Toda la isla","Inmobiliaria alemana en La Palma. Venta, alquiler largo y vacacional","Cobertura completa"
"22","La Palma Casas","https://lapalmacasas.com/","Inmobiliaria","Venta","si","no","no","España/Países Bajos","español/inglés/neerlandés/alemán","Toda la isla","Toda la isla","Inmobiliaria de Rogier van der Hoeven. Opera en varios idiomas","También en lapalmacasas.nl y lapalmacasas.de"
"23","Contacto La Palma (Mantenimiento de Contacto SL)","https://www.la-palma.de/","Inmobiliaria","Mixto","si","no","si","Alemania","alemán/español/inglés","Los Llanos de Aridane","Oeste","Constructora e inmobiliaria con 30+ años. Alquiler vacacional y venta","Misma empresa gestiona casas rurales"
"24","Islas Immobilien La Palma","https://www.islasimmobilien.de/","Inmobiliaria","Venta","si","no","no","Alemania","alemán/español","Toda la isla","Toda la isla","Inmobiliaria alemana con propiedades en La Palma",""
"25","LaPalma.Immo","https://lapalma.immo/","Inmobiliaria","Venta","si","no","no","Alemania","alemán","Toda la isla","Toda la isla","Portal inmobiliario en alemán especializado en La Palma",""
"26","La Palma 24 Immobilien","https://www.la-palma24.net/","Inmobiliaria","Mixto","si","si","si","Alemania","alemán/español/inglés","Toda la isla","Toda la isla","Plataforma de alquiler vacacional e inmobiliaria. Oficina en Los Llanos","Opera desde 2002"
"27","Plaza Inmobiliaria","https://www.plaza-inmobiliaria.de/","Inmobiliaria","Venta","si","no","no","Alemania","alemán","Toda la isla","Toda la isla","Inmobiliaria alemana con propiedades en La Palma",""
"28","Angel Immobilien","https://www.angel-immobilien-sl.com/","Inmobiliaria","Venta","si","no","no","Alemania","alemán","Toda la isla","Toda la isla","Inmobiliaria alemana especializada en La Palma",""
"29","Canarias-Travel24","https://www.canarias-travel24.com/","Gestora Vacacional","Vacacional","no","si","si","España/Alemania","español/alemán","Toda la isla","Toda la isla","Alquiler de larga temporada y vacacional en La Palma",""
"30","Infoisla La Palma","https://infoislalapalma.com/","Directorio","Mixto","si","si","si","España","español","Toda la isla","Toda la isla","Directorio con clasificados de viviendas, venta, alquiler y compartir piso","Sección inmuebles muy activa"
"31","Canarias-Realestate24","https://canarias-realestate24.com/","Inmobiliaria","Venta","si","no","no","España/Alemania","alemán/inglés","Toda la isla","Toda la isla","Premium partner para inmuebles en La Palma",""
"32","La Palma Casas NL","https://lapalmacasas.nl/","Inmobiliaria","Venta","si","no","no","Países Bajos","neerlandés","Toda la isla","Toda la isla","Versión neerlandesa de La Palma Casas para el mercado holandés",""
"33","Aankoopmakelaar La Palma","https://lapalma.aankoopmakelaar-canarische-eilanden.nl/","Inmobiliaria","Venta","si","no","no","Países Bajos","neerlandés","Toda la isla","Toda la isla","Agencia de compra para holandeses que buscan casa en La Palma","Asesoría desde Tenerife"
"34","Welhome La Palma","https://welhomelapalma.es/","Gestora Vacacional","Vacacional","no","no","si","España","español","Toda la isla","Toda la isla","Gestión integral de alquiler vacacional en La Palma",""
"35","CanaryCompany","https://canarycompany.com/","Gestora Vacacional","Vacacional","no","no","si","España/Alemania","español/alemán/inglés","Toda la isla","Oeste","Gestión de alquiler vacacional de villas y casas rurales en La Palma","Propietaria Marion Richter"
"36","Clariso","https://www.clariso.eu/","Gestora Vacacional","Vacacional","no","no","si","España","español/alemán/francés/inglés","Toda la isla","Toda la isla","Plataforma de alquiler vacacional de casas y villas en La Palma","Empresa Clara Pro Soluciones SL"
"37","Isla Bonita Turismo Rural","https://islabonita.com/","Gestora Vacacional","Vacacional","no","no","si","España","español/inglés","Toda la isla","Toda la isla","Alquiler de casas rurales en La Palma",""
"38","Casas Rurales La Palma","https://www.casasruraleslapalma.com/","Gestora Vacacional","Vacacional","no","no","si","España","español","Toda la isla","Toda la isla","Alquiler de casas rurales en La Palma",""
"39","Casitas La Montaña","https://www.casitaslamontanita.com/","Gestora Vacacional","Vacacional","no","no","si","España","español","El Paso","Oeste","Casas rurales en El Paso, La Palma",""
"40","CanariRural","https://www.canarirural.com/","Portal","Vacacional","no","no","si","España","español","Toda la isla","Toda la isla","Portal de alquiler de casas rurales en Canarias incluyendo La Palma",""
"41","La Hacienda La Palma","https://hacienda-lapalma.com/","Gestora Vacacional","Vacacional","no","no","si","España/Alemania","español/alemán/francés/inglés","Garafía,Puntagorda","Noroeste","Complejo turístico con casas rurales y bodega en Garafía",""
"42","Finca Bella Sombra","https://www.finca-bella-sombra.com/","Gestora Vacacional","Vacacional","no","no","si","Alemania","alemán/inglés","Tijarafe","Oeste","Villas vacacionales de lujo con piscina en Tijarafe",""
"43","La Palma Exquisit","https://www.la-palma-exquisit.de/","Gestora Vacacional","Vacacional","no","no","si","Alemania","alemán/inglés","Tijarafe","Oeste","Villas vacacionales exclusivas en La Palma",""
"44","La Palma Fincas (Eco Fincas La Palma)","https://la-palma-fincas.com/","Gestora Vacacional","Vacacional","no","no","si","España/Alemania","alemán/inglés","Puntagorda","Noroeste","Casas de vacaciones sostenibles en Puntagorda",""
"45","Villa Veni","https://www.villa-veni.es/","Gestora Vacacional","Vacacional","no","no","si","España","español/alemán/francés/inglés","Tazacorte","Oeste","Villa vacacional de lujo con piscina en Tazacorte","Gestiona Clara Pro Soluciones SL"
"46","Lapalmahouse (Casa Aram)","https://www.lapalmahouse.com/","Gestora Vacacional","Vacacional","no","no","si","España","español/inglés/francés","Tijarafe","Oeste","Casa vacacional privada en Tijarafe",""
"47","Airbnb","https://www.airbnb.es/la-palma-spain/stays","Portal","Vacacional","no","no","si","Internacional","multilingüe","Toda la isla","Toda la isla","Plataforma global de alquiler vacacional entre particulares",""
"48","Vrbo","https://www.vrbo.com/vacation-rentals/europe/spain/canary-islands/la-palma-island","Portal","Vacacional","no","no","si","Internacional","multilingüe","Toda la isla","Toda la isla","Plataforma global de alquiler vacacional (Expedia Group)",""
"49","Holidu","https://www.holidu.es/alquileres-vacacionales/espana/la-palma","Portal","Vacacional","no","no","si","Internacional","multilingüe","Toda la isla","Toda la isla","Meta-buscador de alquileres vacacionales",""
"50","Interhome","https://www.interhome.fr/espagne/la-palma/","Portal","Vacacional","no","no","si","Francia","francés","Toda la isla","Toda la isla","Empresa francesa de alquiler vacacional desde 1965",""
"51","Costasur","https://la-palma.costasur.com/","Portal","Vacacional","no","no","si","España","español/francés/inglés","Toda la isla","Toda la isla","Portal turístico con alquiler de apartamentos en La Palma",""
"52","Expedia","https://www.expedia.com/La-Palma-Vacation-Rentals.d6047159.Travel-Guide-VacationRentals","Portal","Vacacional","no","no","si","Internacional","inglés","Toda la isla","Toda la isla","Plataforma global de viajes con alquileres vacacionales",""
"53","Angel Gil Construcciones","https://angelgilconstrucciones.com/","Constructora","Venta","si","no","no","España","español","Toda la isla","Toda la isla","Constructora de viviendas prefabricadas en La Palma",""
"54","Ardel SL","https://ardelsl.es/","Constructora","Venta","si","no","no","España","español","Toda la isla","Toda la isla","Empresa de construcción en La Palma desde 1989. Edificación de viviendas",""
"55","Palmasol Canarias","https://www.palmasol.com/","Promotora","Venta","si","no","no","España","español/alemán/inglés","Toda la isla","Toda la isla","Promoción inmobiliaria, asesoramiento jurídico y gestión urbanística en La Palma",""
"56","GuestReady La Palma","https://www.guestready.com/airbnb-management/la-palma/","Gestora Vacacional","Vacacional","no","no","si","Internacional","inglés","Toda la isla","Toda la isla","Gestión profesional de alquiler Airbnb en La Palma",""
"57","Clasf","https://www.clasf.es/","Marketplace","Mixto","si","si","no","España","español","Toda la isla","Toda la isla","Plataforma de clasificados con anuncios de viviendas en La Palma",""
"58","Promotora de Viviendas La Palma SL","https://www.einforma.com/informacion-empresa/promotora-viviendas-palma","Promotora","Venta","si","no","no","España","español","Santa Cruz de La Palma","Este","Promotora inmobiliaria histórica en La Palma","Sin web propia activa verificada"
"59","Grupo EM Inmobiliaria","https://grupoeminmobiliaria.com/","Inmobiliaria","Venta","si","no","no","España","español","Toda la isla","Toda la isla","Inmobiliaria con promoción Residencial AEC La Palma",""
"60","IIM (International Immobilien Management)","https://iim.de/","Inmobiliaria","Venta","si","no","no","Alemania","alemán","Toda la isla","Toda la isla","Inmobiliaria alemana con propiedades en La Palma (especializada en fincas)","Tiene listado de propiedad en La Palma"
"61","Engel Immobilien Trier","https://engel-immobilien-trier.de/","Inmobiliaria","Venta","si","no","no","Alemania","alemán","Puntagorda,Garafía","Noroeste","Inmobiliaria alemana con finca en Las Tricias, La Palma",""
"62","Telegram - Empleo La Palma","https://t.me/trabajoofertasydemanda","Telegram","Venta","si","si","no","España","español","Toda la isla","Toda la isla","Grupo de Telegram con ofertas de empleo y a veces viviendas en La Palma","No es fuente principal de viviendas"
"63","YouTube - Mi Casa en La Palma","https://www.youtube.com/@micasaenlapalma","Youtube","Venta","si","no","no","España","español","Toda la isla","Toda la isla","Canal de YouTube de la inmobiliaria Mi Casa en La Palma","Propiedades en video"
"64","thinkSPAIN","https://www.thinkspain.com/","Portal","Venta","si","si","si","Reino Unido","inglés/alemán","Toda la isla","Toda la isla","Portal inmobiliario británico especializado en propiedades españolas",""
"65","Fewo Direkt","https://www.feWo-direkt.de/","Portal","Vacacional","no","no","si","Alemania","alemán","Toda la isla","Toda la isla","Plataforma alemana de alquiler vacacional (parte de Vrbo)",""
"66","Booking.com","https://www.booking.com/","Portal","Vacacional","no","no","si","Internacional","multilingüe","Toda la isla","Toda la isla","Plataforma global de reservas con apartamentos y casas en La Palma",""
"67","Facebook Marketplace La Palma","https://www.facebook.com/marketplace/la-palma","Facebook","Mixto","si","si","si","Internacional","multilingüe","Toda la isla","Toda la isla","Marketplace de Facebook con anuncios de viviendas en La Palma","Requiere cuenta Facebook"
"68","Puntagorda Inmobiliaria Alemana","https://www.puntagorda-immobilien.com/","Inmobiliaria","Venta","si","no","no","Alemania","alemán","Puntagorda","Noroeste","Inmobiliaria alemana especializada en Puntagorda","No verificada completamente"
"69","La Palma Vacant (Facebook)","https://www.facebook.com/lapalmaproperties/","Facebook","Venta","si","no","no","España","español/inglés","Toda la isla","Toda la isla","Facebook page de antigua inmobiliaria La Palma Vacant, ahora La Palma Casas",""
"70","TusCasasRurales.com","https://www.tuscasasrurales.com/casas-rurales-la-palma-5878.htm","Portal","Vacacional","no","no","si","España","español","Toda la isla","Toda la isla","Portal de alquiler de casas rurales con ofertas en La Palma",""
"71","CasasRurales.net","https://www.casasrurales.net/","Portal","Vacacional","no","no","si","España","español","Toda la isla","Toda la isla","Portal de casas rurales con propiedades en La Palma",""
"72","Finca Hermosilla Premium","https://fincahermosillapremium.com/","Gestora Vacacional","Vacacional","no","no","si","España","español","El Paso","Oeste","Casa rural con piscina en El Paso, La Palma","Booking, Airbnb y directo"
"73","Agoda","https://www.agoda.com/","Portal","Vacacional","no","no","si","Internacional","multilingüe","Toda la isla","Toda la isla","Plataforma global de reservas con alojamientos vacacionales en La Palma",""
"74","Fewo24 La Palma","https://www.fewo24.de/","Portal","Vacacional","no","no","si","Alemania","alemán","Toda la isla","Toda la isla","Portal alemán de alquiler vacacional con ofertas en La Palma",""
"75","HomeToGo","https://www.hometogo.es/f/isla-de-la-palma/","Portal","Vacacional","no","no","si","Internacional","multilingüe","Toda la isla","Toda la isla","Meta-buscador internacional de alquileres vacacionales con +3.900 ofertas en La Palma",""
"76","NOVASOL","https://www.novasol.no/spania/la-palma","Portal","Vacacional","no","no","si","Noruega","noruego/inglés","Toda la isla","Toda la isla","Compañía escandinava de alquiler vacacional con propiedades en La Palma","Marca danesa, opera en varios países nórdicos"
"77","LaPalma-Sonne","https://www.lapalma-sonne.de/","Gestora Vacacional","Vacacional","no","no","si","Alemania","alemán/inglés/español","El Paso (Tacande)","Oeste","Finca Luna Baila: conjunto de villas vacacionales privadas con piscina","Anfitriones en la finca"
"78","VakantiehuizenLaPalma.nl","https://www.vakantiehuizenlapalma.nl/","Gestora Vacacional","Vacacional","no","no","si","Países Bajos","neerlandés","Tazacorte,Puerto Naos","Oeste","Villa, penthouse y casas vacacionales holandesas en La Palma","Propietarios neerlandeses residentes"
"79","LaPalma-Oceaanzicht","https://lapalma-oceaanzicht.nl/","Gestora Vacacional","Vacacional","no","no","si","Países Bajos","neerlandés","Toda la isla","Toda la isla","Agencia neerlandesa de alquiler vacacional con múltiples villas","Oficina en El Paso, asistencia 24h"
"80","LasCasasCanarias","https://www.lascasascanarias.com/","Portal","Vacacional","no","no","si","España","español/inglés/alemán/neerlandés/noruego/danés","Toda la isla","Toda la isla","Portal multilingüe de alquiler vacacional con amplia oferta en La Palma","Opera en 7 idiomas"
"81","Feriehus.no","https://feriehus.no/spania/kanarioyene/la-palma","Portal","Vacacional","no","no","si","Noruega","noruego","Toda la isla","Toda la isla","Meta-buscador noruego que agrega ofertas de alquiler vacacional en La Palma",""
"82","Dansommer","https://www.dansommer.no/spania/feriehus-los-llanos-la-palma-epa198","Portal","Vacacional","no","no","si","Dinamarca","danés/noruego","Los Llanos de Aridane","Oeste","Compañía danesa de alquiler vacacional con propiedades en La Palma",""
"83","LaPalma-Fee","https://www.lapalma-fee.de/","Gestora Vacacional","Vacacional","no","no","si","Alemania","alemán","Toda la isla","Toda la isla","Plataforma alemana de alquiler vacacional con múltiples fincas y casas","Requiere contratar coche con Mas-Rentacar"
"84","MIMA Properties","https://www.mimaproperties.com/","Inmobiliaria","Venta","si","no","no","España","español/inglés","Breña Baja (Los Cancajos),Villa de Mazo","Este","Inmobiliaria con oficinas en Los Cancajos y Villa de Mazo. Venta de propiedades, terrenos e inversiones","Con presencia en LinkedIn y otros portales inmobiliarios"
"85","Carola Wagner International Consulting","https://www.carolawagner.com/","Inmobiliaria","Venta","si","no","no","Francia/España","francés/alemán/inglés/español","El Paso,Breña Alta,Breña Baja,Villa de Mazo,Puntallana","Este,Oeste","Inmobiliaria francesa en El Paso especializada en venta de villas, casas y apartamentos en La Palma","Oficina en El Paso, Carretera General Padrón 2"
"86","Stenella Inmobiliaria","https://www.stenellainmobiliaria.com/","Inmobiliaria","Venta","si","si","no","España","español","Los Llanos de Aridane,Tazacorte,Tijarafe","Oeste","Inmobiliaria con propiedades en venta y alquiler en Los Llanos, Tazacorte y Tijarafe","Stenella Servicios Inmobiliarios"
"87","DARA Inmobiliaria","https://www.darainmobiliaria.com/","Inmobiliaria","Venta","si","si","no","España","español","Breña Baja,Breña Alta,Santa Cruz de La Palma,Garafía,Villa de Mazo,El Paso,San Andrés y Sauces,Puntallana,Los Llanos,Tazacorte","Este,Oeste,Noroeste","Inmobiliaria en Breña Baja con amplia cartera de pisos, casas, locales y terrenos en toda la isla","Oficina en Carretera General San Antonio 259, Breña Baja. Web ES/EN/DE"
"88","Casas de La Palma","https://casasdelapalma.com/","Inmobiliaria","Venta","si","no","no","España","español","Toda la isla","Toda la isla","Inmobiliaria local con propiedades en venta incluyendo casas, terrenos y fincas","Web activa con propiedades destacadas"
"89","Vista Alegre Inmobiliaria","http://www.vista-alegre.com/","Inmobiliaria","Venta","si","no","no","Alemania/España","español/alemán/inglés","El Paso,Los Llanos de Aridane,Garafía,Puntagorda,Mazo,Tijarafe,Fuencaliente,Breña Alta","Este,Oeste,Noroeste","Inmobiliaria de Franz Wilhelmi en El Paso. Venta de casas, terrenos y fincas. También reformas y construcción","Oficina en Calle Vista Alegre 7, El Paso"
"90","Belfir S.L.","https://www.belfir.de/","Inmobiliaria","Venta","si","no","no","Alemania/España","español/alemán/inglés","Breña Alta,Breña Baja,Villa de Mazo","Este","Constructora e inmobiliaria hispanoalemana con más de 30 años. Venta de propiedades seleccionadas, reformas y construcción","Oficina en C/ Treinta de Mayo 68, Breña Alta. 20 profesionales"
